ruta	ejes	fragmentos	lineas_codigo	capitulos	importado_desde
restored-src/src/utils/secureStorage/keychainPrefetch.js	IMPORT	0	0	-	restored-src/src/main.tsx
restored-src/src/utils/settings/changeDetector.ts	MENCION	0	0	-	-
restored-src/src/utils/settings/constants.ts	FRAGMENTO+MENCION	1	7	part5/ch18b.md	-
restored-src/src/utils/settings/mdm/rawRead.js	IMPORT	0	0	-	restored-src/src/main.tsx
restored-src/src/utils/settings/settings.ts	MENCION	0	0	-	-
restored-src/src/utils/settings/settingsCache.ts	MENCION	0	0	-	-
restored-src/src/utils/skills/skillChangeDetector.ts	RELATIVO	2	3	part6/ch22.md	-
restored-src/src/utils/startupProfiler.js	IMPORT	0	0	-	restored-src/src/main.tsx
restored-src/src/utils/systemPrompt.ts	MENCION	0	0	-	-
restored-src/src/utils/tasks.ts	FRAGMENTO+MENCION	1	12	appendix/f-e2e-traces.md	-
restored-src/src/utils/teammate.js	IMPORT	0	0	-	restored-src/src/main.tsx
restored-src/src/utils/teammateContext.ts	FRAGMENTO+MENCION	1	1	appendix/f-e2e-traces.md	-
restored-src/src/utils/telemetry/instrumentation.ts	FRAGMENTO+MENCION	1	4	part7/ch29.md	-
restored-src/src/utils/telemetry/perfettoTracing.ts	FRAGMENTO+MENCION	1	1	part7/ch29.md	-
restored-src/src/utils/telemetry/sessionTracing.ts	FRAGMENTO+MENCION	1	1	part7/ch29.md	-
restored-src/src/utils/thinking.ts	RELATIVO	7	39	part6/ch21.md	-
restored-src/src/utils/tokens.ts	RELATIVO+MENCION	3	26	part3/ch12.md	-
restored-src/src/utils/toolResultStorage.ts	FRAGMENTO+RELATIVO+MENCION	3	35	part3/ch12.md,part7/ch30.md	-
restored-src/src/utils/toolSchemaCache.ts	RELATIVO	1	21	part4/ch15.md	-
restored-src/src/utils/ultraplan/ccrSession.ts	FRAGMENTO+MENCION	1	4	part6/ch20c.md	-
restored-src/src/utils/ultraplan/keyword.ts	FRAGMENTO+MENCION	1	3	part6/ch20c.md	-
restored-src/src/utils/xml.ts	FRAGMENTO+MENCION	1	8	part5/ch17b.md	-
